4677: T2_2H_BOW                                                        : Novice's Bow
6682: T5_MAIN_MACE@2                                                   : Expert's Mace
6683: T5_MAIN_MACE@3                                                   : Expert's Mace
6684: T6_MAIN_MACE                                                     : Master's Mace
6685: T6_MAIN_MACE@1                                                   : Master's Mace
6686: T6_MAIN_MACE@2                                                   : Master's Mace
6687: T6_MAIN_MACE@3                                                   : Master's Mace
6688: T7_MAIN_MACE                                                     : Grandmaster's Mace
6689: T7_MAIN_MACE@1                                                   : Grandmaster's Mace
6690: T7_MAIN_MACE@2                                                   : Grandmaster's Mace
6691: T7_MAIN_MACE@3                                                   : Grandmaster's Mace
6692: T8_MAIN_MACE                                                     : Elder's Mace
6693: T8_MAIN_MACE@1                                                   : Elder's Mace
6694: T8_MAIN_MACE@2                                                   : Elder's Mace
6695: T8_MAIN_MACE@3                                                   : Elder's Mace
6696: T4_2H_MACE                                                       : Adept's Heavy Mace
6697: T4_2H_MACE@1                                                     : Adept's Heavy Mace
6698: T4_2H_MACE@2                                                     : Adept's Heavy Mace
6699: T4_2H_MACE@3                                                     : Adept's Heavy Mace
6700: T5_2H_MACE                                                       : Expert's Heavy Mace
6701: T5_2H_MACE@1                                                     : Expert's Heavy Mace
6702: T5_2H_MACE@2                                                     : Expert's Heavy Mace
6703: T5_2H_MACE@3                                                     : Expert's Heavy Mace
6704: T6_2H_MACE                                                       : Master's Heavy Mace
6705: T6_2H_MACE@1                                                     : Master's Heavy Mace
6706: T6_2H_MACE@2                                                     : Master's Heavy Mace
6707: T6_2H_MACE@3                                                     : Master's Heavy Mace
6708: T7_2H_MACE                                                       : Grandmaster's Heavy Mace
6709: T7_2H_MACE@1                                                     : Grandmaster's Heavy Mace
6710: T7_2H_MACE@2                                                     : Grandmaster's Heavy Mace
6711: T7_2H_MACE@3                                                     : Grandmaster's Heavy Mace
6712: T8_2H_MACE                                                       : Elder's Heavy Mace
6713: T8_2H_MACE@1                                                     : Elder's Heavy Mace
6714: T8_2H_MACE@2                                                     : Elder's Heavy Mace
6715: T8_2H_MACE@3                                                     : Elder's Heavy Mace
6716: T4_2H_FLAIL                                                      : Adept's Morning Star
6717: T4_2H_FLAIL@1                                                    : Adept's Morning Star
6718: T4_2H_FLAIL@2                                                    : Adept's Morning Star
6719: T4_2H_FLAIL@3                                                    : Adept's Morning Star
6720: T5_2H_FLAIL                                                      : Expert's Morning Star
6721: T5_2H_FLAIL@1                                                    : Expert's Morning Star
6722: T5_2H_FLAIL@2                                                    : Expert's Morning Star
6723: T5_2H_FLAIL@3                                                    : Expert's Morning Star
6724: T6_2H_FLAIL                                                      : Master's Morning Star
6725: T6_2H_FLAIL@1                                                    : Master's Morning Star
6726: T6_2H_FLAIL@2                                                    : Master's Morning Star
6727: T6_2H_FLAIL@3                                                    : Master's Morning Star
6728: T7_2H_FLAIL                                                      : Grandmaster's Morning Star
6729: T7_2H_FLAIL@1                                                    : Grandmaster's Morning Star
6730: T7_2H_FLAIL@2                                                    : Grandmaster's Morning Star
6731: T7_2H_FLAIL@3                                                    : Grandmaster's Morning Star
6732: T8_2H_FLAIL                                                      : Elder's Morning Star
6733: T8_2H_FLAIL@1                                                    : Elder's Morning Star
6734: T8_2H_FLAIL@2                                                    : Elder's Morning Star
6735: T8_2H_FLAIL@3                                                    : Elder's Morning Star
6736: T4_MAIN_ROCKMACE_KEEPER                                          : Adept's Bedrock Mace
6737: T4_MAIN_ROCKMACE_KEEPER@1                                        : Adept's Bedrock Mace
6738: T4_MAIN_ROCKMACE_KEEPER@2                                        : Adept's Bedrock Mace
6739: T4_MAIN_ROCKMACE_KEEPER@3                                        : Adept's Bedrock Mace
6740: T5_MAIN_ROCKMACE_KEEPER                                          : Expert's Bedrock Mace
6741: T5_MAIN_ROCKMACE_KEEPER@1                                        : Expert's Bedrock Mace
6742: T5_MAIN_ROCKMACE_KEEPER@2                                        : Expert's Bedrock Mace
6743: T5_MAIN_ROCKMACE_KEEPER@3                                        : Expert's Bedrock Mace
6744: T6_MAIN_ROCKMACE_KEEPER                                          : Master's Bedrock Mace
6745: T6_MAIN_ROCKMACE_KEEPER@1                                        : Master's Bedrock Mace
6746: T6_MAIN_ROCKMACE_KEEPER@2                                        : Master's Bedrock Mace
6747: T6_MAIN_ROCKMACE_KEEPER@3                                        : Master's Bedrock Mace
6748: T7_MAIN_ROCKMACE_KEEPER                                          : Grandmaster's Bedrock Mace
6749: T7_MAIN_ROCKMACE_KEEPER@1                                        : Grandmaster's Bedrock Mace
6750: T7_MAIN_ROCKMACE_KEEPER@2                                        : Grandmaster's Bedrock Mace
6751: T7_MAIN_ROCKMACE_KEEPER@3                                        : Grandmaster's Bedrock Mace
6752: T8_MAIN_ROCKMACE_KEEPER                                          : Elder's Bedrock Mace
6753: T8_MAIN_ROCKMACE_KEEPER@1                                        : Elder's Bedrock Mace
6754: T8_MAIN_ROCKMACE_KEEPER@2                                        : Elder's Bedrock Mace
6755: T8_MAIN_ROCKMACE_KEEPER@3                                        : Elder's Bedrock Mace
6756: T4_MAIN_MACE_HELL                                                : Adept's Incubus Mace
6757: T4_MAIN_MACE_HELL@1                                              : Adept's Incubus Mace
6758: T4_MAIN_MACE_HELL@2                                              : Adept's Incubus Mace
6759: T4_MAIN_MACE_HELL@3                                              : Adept's Incubus Mace
6760: T5_MAIN_MACE_HELL                                                : Expert's Incubus Mace
6761: T5_MAIN_MACE_HELL@1                                              : Expert's Incubus Mace
6762: T5_MAIN_MACE_HELL@2                                              : Expert's Incubus Mace
6763: T5_MAIN_MACE_HELL@3                                              : Expert's Incubus Mace
6764: T6_MAIN_MACE_HELL                                                : Master's Incubus Mace
6765: T6_MAIN_MACE_HELL@1                                              : Master's Incubus Mace
6766: T6_MAIN_MACE_HELL@2                                              : Master's Incubus Mace
6767: T6_MAIN_MACE_HELL@3                                              : Master's Incubus Mace
6768: T7_MAIN_MACE_HELL                                                : Grandmaster's Incubus Mace
6769: T7_MAIN_MACE_HELL@1                                              : Grandmaster's Incubus Mace
6770: T7_MAIN_MACE_HELL@2                                              : Grandmaster's Incubus Mace
6771: T7_MAIN_MACE_HELL@3                                              : Grandmaster's Incubus Mace
6772: T8_MAIN_MACE_HELL                                                : Elder's Incubus Mace
6773: T8_MAIN_MACE_HELL@1                                              : Elder's Incubus Mace
6774: T8_MAIN_MACE_HELL@2                                              : Elder's Incubus Mace
6775: T8_MAIN_MACE_HELL@3                                              : Elder's Incubus Mace
6776: T4_2H_MACE_MORGANA                                               : Adept's Camlann Mace
6777: T4_2H_MACE_MORGANA@1                                             : Adept's Camlann Mace
6778: T4_2H_MACE_MORGANA@2                                             : Adept's Camlann Mace
6779: T4_2H_MACE_MORGANA@3                                             : Adept's Camlann Mace
6780: T5_2H_MACE_MORGANA                                               : Expert's Camlann Mace
6781: T5_2H_MACE_MORGANA@1                                             : Expert's Camlann Mace
6782: T5_2H_MACE_MORGANA@2                                             : Expert's Camlann Mace
6783: T5_2H_MACE_MORGANA@3                                             : Expert's Camlann Mace
6784: T6_2H_MACE_MORGANA                                               : Master's Camlann Mace
6785: T6_2H_MACE_MORGANA@1                                             : Master's Camlann Mace
6786: T6_2H_MACE_MORGANA@2                                             : Master's Camlann Mace
6787: T6_2H_MACE_MORGANA@3                                             : Master's Camlann Mace
6788: T7_2H_MACE_MORGANA                                               : Grandmaster's Camlann Mace
6789: T7_2H_MACE_MORGANA@1                                             : Grandmaster's Camlann Mace
6790: T7_2H_MACE_MORGANA@2                                             : Grandmaster's Camlann Mace
6791: T7_2H_MACE_MORGANA@3                                             : Grandmaster's Camlann Mace
6792: T8_2H_MACE_MORGANA                                               : Elder's Camlann Mace
6793: T8_2H_MACE_MORGANA@1                                             : Elder's Camlann Mace
6794: T8_2H_MACE_MORGANA@2                                             : Elder's Camlann Mace
6795: T8_2H_MACE_MORGANA@3                                             : Elder's Camlann Mace
6796: T4_2H_DUALMACE_AVALON                                            : Adept's Oathkeepers
6797: T4_2H_DUALMACE_AVALON@1                                          : Adept's Oathkeepers
6798: T4_2H_DUALMACE_AVALON@2                                          : Adept's Oathkeepers
6799: T4_2H_DUALMACE_AVALON@3                                          : Adept's Oathkeepers
6800: T5_2H_DUALMACE_AVALON                                            : Expert's Oathkeepers
6801: T5_2H_DUALMACE_AVALON@1                                          : Expert's Oathkeepers
6802: T5_2H_DUALMACE_AVALON@2                                          : Expert's Oathkeepers
6803: T5_2H_DUALMACE_AVALON@3                                          : Expert's Oathkeepers
6804: T6_2H_DUALMACE_AVALON                                            : Master's Oathkeepers
6805: T6_2H_DUALMACE_AVALON@1                                          : Master's Oathkeepers
6806: T6_2H_DUALMACE_AVALON@2                                          : Master's Oathkeepers
6807: T6_2H_DUALMACE_AVALON@3                                          : Master's Oathkeepers
6808: T7_2H_DUALMACE_AVALON                                            : Grandmaster's Oathkeepers
6809: T7_2H_DUALMACE_AVALON@1                                          : Grandmaster's Oathkeepers
6810: T7_2H_DUALMACE_AVALON@2                                          : Grandmaster's Oathkeepers
6811: T7_2H_DUALMACE_AVALON@3                                          : Grandmaster's Oathkeepers
6812: T8_2H_DUALMACE_AVALON                                            : Elder's Oathkeepers
6813: T8_2H_DUALMACE_AVALON@1                                          : Elder's Oathkeepers
6814: T8_2H_DUALMACE_AVALON@2                                          : Elder's Oathkeepers
6815: T8_2H_DUALMACE_AVALON@3                                          : Elder's Oathkeepers
6816: T3_2H_KNUCKLES_SET1                                              : Journeyman's Brawler Gloves
6817: T4_2H_KNUCKLES_SET1                                              : Adept's Brawler Gloves
6818: T4_2H_KNUCKLES_SET1@1                                            : Adept's Brawler Gloves
6819: T4_2H_KNUCKLES_SET1@2                                            : Adept's Brawler Gloves
6820: T4_2H_KNUCKLES_SET1@3                                            : Adept's Brawler Gloves
6821: T5_2H_KNUCKLES_SET1                                              : Expert's Brawler Gloves
6822: T5_2H_KNUCKLES_SET1@1                                            : Expert's Brawler Gloves
6823: T5_2H_KNUCKLES_SET1@2                                            : Expert's Brawler Gloves
6824: T5_2H_KNUCKLES_SET1@3                                            : Expert's Brawler Gloves
6825: T6_2H_KNUCKLES_SET1                                              : Master's Brawler Gloves
6826: T6_2H_KNUCKLES_SET1@1                                            : Master's Brawler Gloves
6827: T6_2H_KNUCKLES_SET1@2                                            : Master's Brawler Gloves
6828: T6_2H_KNUCKLES_SET1@3                                            : Master's Brawler Gloves
6829: T7_2H_KNUCKLES_SET1                                              : Grandmaster's Brawler Gloves
6830: T7_2H_KNUCKLES_SET1@1                                            : Grandmaster's Brawler Gloves
6831: T7_2H_KNUCKLES_SET1@2                                            : Grandmaster's Brawler Gloves
6832: T7_2H_KNUCKLES_SET1@3                                            : Grandmaster's Brawler Gloves
6833: T8_2H_KNUCKLES_SET1                                              : Elder's Brawler Gloves
6834: T8_2H_KNUCKLES_SET1@1                                            : Elder's Brawler Gloves
6835: T8_2H_KNUCKLES_SET1@2                                            : Elder's Brawler Gloves
6836: T8_2H_KNUCKLES_SET1@3                                            : Elder's Brawler Gloves
6837: T4_2H_KNUCKLES_SET2                                              : Adept's Battle Bracers
6838: T4_2H_KNUCKLES_SET2@1                                            : Adept's Battle Bracers
6839: T4_2H_KNUCKLES_SET2@2                                            : Adept's Battle Bracers
6840: T4_2H_KNUCKLES_SET2@3                                            : Adept's Battle Bracers
6841: T5_2H_KNUCKLES_SET2                                              : Expert's Battle Bracers
6842: T5_2H_KNUCKLES_SET2@1                                            : Expert's Battle Bracers
6843: T5_2H_KNUCKLES_SET2@2                                            : Expert's Battle Bracers
6844: T5_2H_KNUCKLES_SET2@3                                            : Expert's Battle Bracers
6845: T6_2H_KNUCKLES_SET2                                              : Master's Battle Bracers
6846: T6_2H_KNUCKLES_SET2@1                                            : Master's Battle Bracers
6847: T6_2H_KNUCKLES_SET2@2                                            : Master's Battle Bracers
6848: T6_2H_KNUCKLES_SET2@3                                            : Master's Battle Bracers
6849: T7_2H_KNUCKLES_SET2                                              : Grandmaster's Battle Bracers
6850: T7_2H_KNUCKLES_SET2@1                                            : Grandmaster's Battle Bracers
6851: T7_2H_KNUCKLES_SET2@2                                            : Grandmaster's Battle Bracers
6852: T7_2H_KNUCKLES_SET2@3                                            : Grandmaster's Battle Bracers
6853: T8_2H_KNUCKLES_SET2                                              : Elder's Battle Bracers
6854: T8_2H_KNUCKLES_SET2@1                                            : Elder's Battle Bracers
6855: T8_2H_KNUCKLES_SET2@2                                            : Elder's Battle Bracers
6856: T8_2H_KNUCKLES_SET2@3                                            : Elder's Battle Bracers
6857: T4_2H_KNUCKLES_SET3                                              : Adept's Spiked Gauntlets
6858: T4_2H_KNUCKLES_SET3@1                                            : Adept's Spiked Gauntlets
6859: T4_2H_KNUCKLES_SET3@2                                            : Adept's Spiked Gauntlets
6860: T4_2H_KNUCKLES_SET3@3                                            : Adept's Spiked Gauntlets
6861: T5_2H_KNUCKLES_SET3                                              : Expert's Spiked Gauntlets
6862: T5_2H_KNUCKLES_SET3@1                                            : Expert's Spiked Gauntlets
6863: T5_2H_KNUCKLES_SET3@2                                            : Expert's Spiked Gauntlets
6864: T5_2H_KNUCKLES_SET3@3                                            : Expert's Spiked Gauntlets
6865: T6_2H_KNUCKLES_SET3                                              : Master's Spiked Gauntlets
6866: T6_2H_KNUCKLES_SET3@1                                            : Master's Spiked Gauntlets
6867: T6_2H_KNUCKLES_SET3@2                                            : Master's Spiked Gauntlets
6868: T6_2H_KNUCKLES_SET3@3                                            : Master's Spiked Gauntlets
6869: T7_2H_KNUCKLES_SET3                                              : Grandmaster's Spiked Gauntlets
6870: T7_2H_KNUCKLES_SET3@1                                            : Grandmaster's Spiked Gauntlets
6871: T7_2H_KNUCKLES_SET3@2                                            : Grandmaster's Spiked Gauntlets
6872: T7_2H_KNUCKLES_SET3@3                                            : Grandmaster's Spiked Gauntlets
6873: T8_2H_KNUCKLES_SET3                                              : Elder's Spiked Gauntlets
6874: T8_2H_KNUCKLES_SET3@1                                            : Elder's Spiked Gauntlets
6875: T8_2H_KNUCKLES_SET3@2                                            : Elder's Spiked Gauntlets
6876: T8_2H_KNUCKLES_SET3@3                                            : Elder's Spiked Gauntlets
6877: T4_2H_KNUCKLES_KEEPER                                            : Adept's Ursine Maulers
6878: T4_2H_KNUCKLES_KEEPER@1                                          : Adept's Ursine Maulers
6879: T4_2H_KNUCKLES_KEEPER@2                                          : Adept's Ursine Maulers
6880: T4_2H_KNUCKLES_KEEPER@3                                          : Adept's Ursine Maulers
6881: T5_2H_KNUCKLES_KEEPER                                            : Expert's Ursine Maulers
6882: T5_2H_KNUCKLES_KEEPER@1                                          : Expert's Ursine Maulers
6883: T5_2H_KNUCKLES_KEEPER@2                                          : Expert's Ursine Maulers
6884: T5_2H_KNUCKLES_KEEPER@3                                          : Expert's Ursine Maulers
6885: T6_2H_KNUCKLES_KEEPER                                            : Master's Ursine Maulers
6886: T6_2H_KNUCKLES_KEEPER@1                                          : Master's Ursine Maulers
6887: T6_2H_KNUCKLES_KEEPER@2                                          : Master's Ursine Maulers
6888: T6_2H_KNUCKLES_KEEPER@3                                          : Master's Ursine Maulers
6889: T7_2H_KNUCKLES_KEEPER                                            : Grandmaster's Ursine Maulers
6890: T7_2H_KNUCKLES_KEEPER@1                                          : Grandmaster's Ursine Maulers
6891: T7_2H_KNUCKLES_KEEPER@2                                          : Grandmaster's Ursine Maulers
6892: T7_2H_KNUCKLES_KEEPER@3                                          : Grandmaster's Ursine Maulers
6893: T8_2H_KNUCKLES_KEEPER                                            : Elder's Ursine Maulers
6894: T8_2H_KNUCKLES_KEEPER@1                                          : Elder's Ursine Maulers
6895: T8_2H_KNUCKLES_KEEPER@2                                          : Elder's Ursine Maulers
6896: T8_2H_KNUCKLES_KEEPER@3                                          : Elder's Ursine Maulers
6897: T4_2H_KNUCKLES_HELL                                              : Adept's Hellfire Hands
6898: T4_2H_KNUCKLES_HELL@1                                            : Adept's Hellfire Hands
6899: T4_2H_KNUCKLES_HELL@2                                            : Adept's Hellfire Hands
6900: T4_2H_KNUCKLES_HELL@3                                            : Adept's Hellfire Hands
6901: T5_2H_KNUCKLES_HELL                                              : Expert's Hellfire Hands
6902: T5_2H_KNUCKLES_HELL@1                                            : Expert's Hellfire Hands
6903: T5_2H_KNUCKLES_HELL@2                                            : Expert's Hellfire Hands
6904: T5_2H_KNUCKLES_HELL@3                                            : Expert's Hellfire Hands
6905: T6_2H_KNUCKLES_HELL                                              : Master's Hellfire Hands
6906: T6_2H_KNUCKLES_HELL@1                                            : Master's Hellfire Hands
6907: T6_2H_KNUCKLES_HELL@2                                            : Master's Hellfire Hands
6908: T6_2H_KNUCKLES_HELL@3                                            : Master's Hellfire Hands
6909: T7_2H_KNUCKLES_HELL                                              : Grandmaster's Hellfire Hands
6910: T7_2H_KNUCKLES_HELL@1                                            : Grandmaster's Hellfire Hands
6911: T7_2H_KNUCKLES_HELL@2                                            : Grandmaster's Hellfire Hands
6912: T7_2H_KNUCKLES_HELL@3                                            : Grandmaster's Hellfire Hands
6913: T8_2H_KNUCKLES_HELL                                              : Elder's Hellfire Hands
6914: T8_2H_KNUCKLES_HELL@1                                            : Elder's Hellfire Hands
6915: T8_2H_KNUCKLES_HELL@2                                            : Elder's Hellfire Hands
6916: T8_2H_KNUCKLES_HELL@3                                            : Elder's Hellfire Hands
6917: T4_2H_KNUCKLES_MORGANA                                           : Adept's Ravenstrike Cestus
6918: T4_2H_KNUCKLES_MORGANA@1                                         : Adept's Ravenstrike Cestus
6919: T4_2H_KNUCKLES_MORGANA@2                                         : Adept's Ravenstrike Cestus
6920: T4_2H_KNUCKLES_MORGANA@3                                         : Adept's Ravenstrike Cestus
6921: T5_2H_KNUCKLES_MORGANA                                           : Expert's Ravenstrike Cestus
6922: T5_2H_KNUCKLES_MORGANA@1                                         : Expert's Ravenstrike Cestus
6923: T5_2H_KNUCKLES_MORGANA@2                                         : Expert's Ravenstrike Cestus
6924: T5_2H_KNUCKLES_MORGANA@3                                         : Expert's Ravenstrike Cestus
6925: T6_2H_KNUCKLES_MORGANA                                           : Master's Ravenstrike Cestus
6926: T6_2H_KNUCKLES_MORGANA@1                                         : Master's Ravenstrike Cestus
6927: T6_2H_KNUCKLES_MORGANA@2                                         : Master's Ravenstrike Cestus
6928: T6_2H_KNUCKLES_MORGANA@3                                         : Master's Ravenstrike Cestus
6929: T7_2H_KNUCKLES_MORGANA                                           : Grandmaster's Ravenstrike Cestus
6930: T7_2H_KNUCKLES_MORGANA@1                                         : Grandmaster's Ravenstrike Cestus
6931: T7_2H_KNUCKLES_MORGANA@2                                         : Grandmaster's Ravenstrike Cestus
6932: T7_2H_KNUCKLES_MORGANA@3                                         : Grandmaster's Ravenstrike Cestus
6933: T8_2H_KNUCKLES_MORGANA                                           : Elder's Ravenstrike Cestus
6934: T8_2H_KNUCKLES_MORGANA@1                                         : Elder's Ravenstrike Cestus
6935: T8_2H_KNUCKLES_MORGANA@2                                         : Elder's Ravenstrike Cestus
6936: T8_2H_KNUCKLES_MORGANA@3                                         : Elder's Ravenstrike Cestus
6937: T4_2H_KNUCKLES_AVALON                                            : Adept's Fists of Avalon
6938: T4_2H_KNUCKLES_AVALON@1                                          : Adept's Fists of Avalon
6939: T4_2H_KNUCKLES_AVALON@2                                          : Adept's Fists of Avalon
6940: T4_2H_KNUCKLES_AVALON@3                                          : Adept's Fists of Avalon
6941: T5_2H_KNUCKLES_AVALON                                            : Expert's Fists of Avalon
6942: T5_2H_KNUCKLES_AVALON@1                                          : Expert's Fists of Avalon
6943: T5_2H_KNUCKLES_AVALON@2                                          : Expert's Fists of Avalon
6944: T5_2H_KNUCKLES_AVALON@3                                          : Expert's Fists of Avalon
6945: T6_2H_KNUCKLES_AVALON                                            : Master's Fists of Avalon
6946: T6_2H_KNUCKLES_AVALON@1                                          : Master's Fists of Avalon
6947: T6_2H_KNUCKLES_AVALON@2                                          : Master's Fists of Avalon
6948: T6_2H_KNUCKLES_AVALON@3                                          : Master's Fists of Avalon
6949: T7_2H_KNUCKLES_AVALON                                            : Grandmaster's Fists of Avalon
6950: T7_2H_KNUCKLES_AVALON@1                                          : Grandmaster's Fists of Avalon
6951: T7_2H_KNUCKLES_AVALON@2                                          : Grandmaster's Fists of Avalon
6952: T7_2H_KNUCKLES_AVALON@3                                          : Grandmaster's Fists of Avalon
6953: T8_2H_KNUCKLES_AVALON                                            : Elder's Fists of Avalon
6954: T8_2H_KNUCKLES_AVALON@1                                          : Elder's Fists of Avalon
6955: T8_2H_KNUCKLES_AVALON@2                                          : Elder's Fists of Avalon
6956: T8_2H_KNUCKLES_AVALON@3                                          : Elder's Fists of Avalon
2526: T2_HEAD_PLATE_SET1                                               : Novice's Soldier Helmet
2527: T3_HEAD_PLATE_SET1                                               : Journeyman's Soldier Helmet
2528: T4_HEAD_PLATE_SET1                                               : Adept's Soldier Helmet
2529: T4_HEAD_PLATE_SET1@1                                             : Adept's Soldier Helmet
2530: T4_HEAD_PLATE_SET1@2                                             : Adept's Soldier Helmet
2531: T4_HEAD_PLATE_SET1@3                                             : Adept's Soldier Helmet
2532: T5_HEAD_PLATE_SET1                                               : Expert's Soldier Helmet
2533: T5_HEAD_PLATE_SET1@1                                             : Expert's Soldier Helmet
2534: T5_HEAD_PLATE_SET1@2                                             : Expert's Soldier Helmet
2535: T5_HEAD_PLATE_SET1@3                                             : Expert's Soldier Helmet
2536: T6_HEAD_PLATE_SET1                                               : Master's Soldier Helmet
2537: T6_HEAD_PLATE_SET1@1                                             : Master's Soldier Helmet
2538: T6_HEAD_PLATE_SET1@2                                             : Master's Soldier Helmet
2539: T6_HEAD_PLATE_SET1@3                                             : Master's Soldier Helmet
2540: T7_HEAD_PLATE_SET1                                               : Grandmaster's Soldier Helmet
2541: T7_HEAD_PLATE_SET1@1                                             : Grandmaster's Soldier Helmet
2542: T7_HEAD_PLATE_SET1@2                                             : Grandmaster's Soldier Helmet
2543: T7_HEAD_PLATE_SET1@3                                             : Grandmaster's Soldier Helmet
2544: T8_HEAD_PLATE_SET1                                               : Elder's Soldier Helmet
2545: T8_HEAD_PLATE_SET1@1                                             : Elder's Soldier Helmet
2546: T8_HEAD_PLATE_SET1@2                                             : Elder's Soldier Helmet
2547: T8_HEAD_PLATE_SET1@3                                             : Elder's Soldier Helmet
2548: T2_ARMOR_PLATE_SET1                                              : Novice's Soldier Armor
2549: T3_ARMOR_PLATE_SET1                                              : Journeyman's Soldier Armor
2550: T4_ARMOR_PLATE_SET1                                              : Adept's Soldier Armor
2551: T4_ARMOR_PLATE_SET1@1                                            : Adept's Soldier Armor
2552: T4_ARMOR_PLATE_SET1@2                                            : Adept's Soldier Armor
2553: T4_ARMOR_PLATE_SET1@3                                            : Adept's Soldier Armor
2554: T5_ARMOR_PLATE_SET1                                              : Expert's Soldier Armor
2555: T5_ARMOR_PLATE_SET1@1                                            : Expert's Soldier Armor
2556: T5_ARMOR_PLATE_SET1@2                                            : Expert's Soldier Armor
2557: T5_ARMOR_PLATE_SET1@3                                            : Expert's Soldier Armor
2558: T6_ARMOR_PLATE_SET1                                              : Master's Soldier Armor
2559: T6_ARMOR_PLATE_SET1@1                                            : Master's Soldier Armor
2560: T6_ARMOR_PLATE_SET1@2                                            : Master's Soldier Armor
2561: T6_ARMOR_PLATE_SET1@3                                            : Master's Soldier Armor
2562: T7_ARMOR_PLATE_SET1                                              : Grandmaster's Soldier Armor
2563: T7_ARMOR_PLATE_SET1@1                                            : Grandmaster's Soldier Armor
2564: T7_ARMOR_PLATE_SET1@2                                            : Grandmaster's Soldier Armor
2565: T7_ARMOR_PLATE_SET1@3                                            : Grandmaster's Soldier Armor
2566: T8_ARMOR_PLATE_SET1                                              : Elder's Soldier Armor
2567: T8_ARMOR_PLATE_SET1@1                                            : Elder's Soldier Armor
2568: T8_ARMOR_PLATE_SET1@2                                            : Elder's Soldier Armor
2569: T8_ARMOR_PLATE_SET1@3                                            : Elder's Soldier Armor
2570: T2_SHOES_PLATE_SET1                                              : Novice's Soldier Boots
2571: T3_SHOES_PLATE_SET1                                              : Journeyman's Soldier Boots
2572: T4_SHOES_PLATE_SET1                                              : Adept's Soldier Boots
2573: T4_SHOES_PLATE_SET1@1                                            : Adept's Soldier Boots
2574: T4_SHOES_PLATE_SET1@2                                            : Adept's Soldier Boots
2575: T4_SHOES_PLATE_SET1@3                                            : Adept's Soldier Boots
2576: T5_SHOES_PLATE_SET1                                              : Expert's Soldier Boots
2577: T5_SHOES_PLATE_SET1@1                                            : Expert's Soldier Boots
2578: T5_SHOES_PLATE_SET1@2                                            : Expert's Soldier Boots
2579: T5_SHOES_PLATE_SET1@3                                            : Expert's Soldier Boots
2580: T6_SHOES_PLATE_SET1                                              : Master's Soldier Boots
2581: T6_SHOES_PLATE_SET1@1                                            : Master's Soldier Boots
2582: T6_SHOES_PLATE_SET1@2                                            : Master's Soldier Boots
2583: T6_SHOES_PLATE_SET1@3                                            : Master's Soldier Boots
2584: T7_SHOES_PLATE_SET1                                              : Grandmaster's Soldier Boots
2585: T7_SHOES_PLATE_SET1@1                                            : Grandmaster's Soldier Boots
2586: T7_SHOES_PLATE_SET1@2                                            : Grandmaster's Soldier Boots
2587: T7_SHOES_PLATE_SET1@3                                            : Grandmaster's Soldier Boots
2588: T8_SHOES_PLATE_SET1                                              : Elder's Soldier Boots
2589: T8_SHOES_PLATE_SET1@1                                            : Elder's Soldier Boots
2590: T8_SHOES_PLATE_SET1@2                                            : Elder's Soldier Boots
2591: T8_SHOES_PLATE_SET1@3                                            : Elder's Soldier Boots
2592: T4_HEAD_PLATE_SET2                                               : Adept's Knight Helmet
2593: T4_HEAD_PLATE_SET2@1                                             : Adept's Knight Helmet
2594: T4_HEAD_PLATE_SET2@2                                             : Adept's Knight Helmet
2595: T4_HEAD_PLATE_SET2@3                                             : Adept's Knight Helmet
2596: T5_HEAD_PLATE_SET2                                               : Expert's Knight Helmet
2597: T5_HEAD_PLATE_SET2@1                                             : Expert's Knight Helmet
2598: T5_HEAD_PLATE_SET2@2                                             : Expert's Knight Helmet
2599: T5_HEAD_PLATE_SET2@3                                             : Expert's Knight Helmet
2600: T6_HEAD_PLATE_SET2                                               : Master's Knight Helmet
2601: T6_HEAD_PLATE_SET2@1                                             : Master's Knight Helmet
2602: T6_HEAD_PLATE_SET2@2                                             : Master's Knight Helmet
2603: T6_HEAD_PLATE_SET2@3                                             : Master's Knight Helmet
2604: T7_HEAD_PLATE_SET2                                               : Grandmaster's Knight Helmet
2605: T7_HEAD_PLATE_SET2@1                                             : Grandmaster's Knight Helmet
2606: T7_HEAD_PLATE_SET2@2                                             : Grandmaster's Knight Helmet
2607: T7_HEAD_PLATE_SET2@3                                             : Grandmaster's Knight Helmet
2608: T8_HEAD_PLATE_SET2                                               : Elder's Knight Helmet
2609: T8_HEAD_PLATE_SET2@1                                             : Elder's Knight Helmet
2610: T8_HEAD_PLATE_SET2@2                                             : Elder's Knight Helmet
2611: T8_HEAD_PLATE_SET2@3                                             : Elder's Knight Helmet
2612: T4_ARMOR_PLATE_SET2                                              : Adept's Knight Armor
2613: T4_ARMOR_PLATE_SET2@1                                            : Adept's Knight Armor
2614: T4_ARMOR_PLATE_SET2@2                                            : Adept's Knight Armor
2615: T4_ARMOR_PLATE_SET2@3                                            : Adept's Knight Armor
2616: T5_ARMOR_PLATE_SET2                                              : Expert's Knight Armor
2617: T5_ARMOR_PLATE_SET2@1                                            : Expert's Knight Armor
2618: T5_ARMOR_PLATE_SET2@2                                            : Expert's Knight Armor
2619: T5_ARMOR_PLATE_SET2@3                                            : Expert's Knight Armor
2620: T6_ARMOR_PLATE_SET2                                              : Master's Knight Armor
2621: T6_ARMOR_PLATE_SET2@1                                            : Master's Knight Armor
2622: T6_ARMOR_PLATE_SET2@2                                            : Master's Knight Armor
